date,agx,agy,agz
2021-05-06 17:31:33.185649,-23.0,25.0,-968.0
2021-05-06 17:31:33.247741,30.0,-42.0,-980.0
2021-05-06 17:31:33.293652,30.0,-42.0,-980.0
2021-05-06 17:31:33.356545,7.0,-30.0,-1009.0
2021-05-06 17:31:33.419988,7.0,-30.0,-1009.0
2021-05-06 17:31:33.481371,-20.0,24.0,-1015.0
2021-05-06 17:31:33.543664,-20.0,24.0,-1015.0
2021-05-06 17:31:33.606056,-31.0,34.0,-1018.0
2021-05-06 17:31:33.668321,8.0,-19.0,-981.0
2021-05-06 17:31:33.732081,8.0,-19.0,-981.0
2021-05-06 17:31:33.777487,-22.0,6.0,-987.0
2021-05-06 17:31:33.839867,-22.0,6.0,-987.0
2021-05-06 17:31:33.903029,-20.0,-7.0,-1004.0
2021-05-06 17:31:33.964286,4.0,-18.0,-996.0
2021-05-06 17:31:34.027085,4.0,-18.0,-996.0
2021-05-06 17:31:34.089246,-34.0,21.0,-988.0
2021-05-06 17:31:34.152815,-34.0,21.0,-988.0
2021-05-06 17:31:34.214270,-15.0,11.0,-1005.0
2021-05-06 17:31:34.277432,-21.0,15.0,-980.0
2021-05-06 17:31:34.338148,-21.0,15.0,-980.0
2021-05-06 17:31:34.400971,6.0,-16.0,-991.0
2021-05-06 17:31:34.464182,6.0,-16.0,-991.0
2021-05-06 17:31:34.526217,-34.0,33.0,-1013.0
2021-05-06 17:31:34.590328,17.0,-16.0,-992.0
2021-05-06 17:31:34.652453,8.0,-15.0,-996.0
2021-05-06 17:31:34.716455,8.0,-15.0,-996.0
2021-05-06 17:31:34.780429,-24.0,28.0,-1012.0
2021-05-06 17:31:34.843422,-60.0,44.0,-1019.0
2021-05-06 17:31:34.907462,-60.0,44.0,-1019.0
2021-05-06 17:31:34.969544,3.0,0.0,-998.0
2021-05-06 17:31:35.032418,3.0,0.0,-998.0
2021-05-06 17:31:35.093673,26.0,0.0,-994.0
2021-05-06 17:31:35.156541,-26.0,34.0,-1017.0
2021-05-06 17:31:35.217507,-26.0,34.0,-1017.0
2021-05-06 17:31:35.279871,4.0,-3.0,-1018.0
2021-05-06 17:31:35.342156,14.0,1.0,-1011.0
2021-05-06 17:31:35.404757,14.0,1.0,-1011.0
2021-05-06 17:31:35.451463,-11.0,-11.0,-1020.0
2021-05-06 17:31:35.514088,-11.0,-11.0,-1020.0
2021-05-06 17:31:35.577955,-39.0,33.0,-1022.0
2021-05-06 17:31:35.640262,-39.0,33.0,-1022.0
2021-05-06 17:31:35.704022,0.0,-13.0,-973.0
2021-05-06 17:31:40.756960,-1.0,6.0,-997.0
2021-05-06 17:31:45.759061,-2.0,7.0,-1001.0
2021-05-06 17:31:50.770895,-2.0,7.0,-1000.0
